MMRE;k;Variables Elegidas;Metodo;Tiempo;Iteracion
1.5543315075803719;1;['Adjusted Function Points', 'Functional Size', 'Project Elapsed Time', 'Primary Programming Language'];1;26.67439913749695;0
1.7025374170590426;1;['Adjusted Function Points', 'Functional Size', 'Project Elapsed Time'];1;25.7248477935791;1
1.6875227365101353;1;['Adjusted Function Points', 'Project Elapsed Time', 'Industry Sector', '1st Data Base System'];1;27.640910387039185;2
1.649779023356614;1;['Adjusted Function Points', 'Project Elapsed Time', 'Industry Sector', 'Development Type'];1;27.482719659805298;3
1.7762901924355827;1;['Adjusted Function Points', 'Functional Size', 'Project Elapsed Time'];1;25.814796209335327;4
1.5587473081360006;2;['Adjusted Function Points', 'Project Elapsed Time'];1;26.261537313461304;0
1.5521026815991135;2;['Adjusted Function Points', 'Project Elapsed Time', 'Development Platform'];1;26.51602005958557;1
1.5187352273550678;2;['Adjusted Function Points', 'Project Elapsed Time', '1st Data Base System', 'Development Platform', 'Development Type'];1;25.90269637107849;2
1.7848825703284046;2;['Adjusted Function Points', 'Functional Size'];1;26.133107662200928;3
1.6811642724068456;2;['Adjusted Function Points', 'Functional Size', 'Project Elapsed Time', '1st Data Base System'];1;26.048685312271118;4
